ID;Signal;Units;Dimensions;ID;Signal;Units;Dimensions;ID;Signal;Units;Dimensions;ID;Signal;Units;Dimensions;ID;Signal;Units;Dimensions
_000;Event;-;2;_030;ECG;mV;2;_060;ECG;mV;2;_090;ECG;mV;2;_120;ECG;;2
_001;SPO2;-;2;_031;IMP;Ohm;2;_061;PCG;s;2;_091;ECHO;-;3;_121;PPG;s;2
_002;O/C;%;2;_032;RPEAKS;s;2;_062;RPEAKS;s;2;_092;RPEAKS;s;2;_122;RPEAKS;s;2
_003;Load;W;2;_033;AVO;-;2;_063;AVO;-;1;_093;AVO;-;1;_123;AVO;-;1
_004;HPD;ms;2;_034;PPEjec;ms;2;_064;PEP;ms;1;_094;PEP;ms;1;_124;PEP;ms;1
_005;DC;1/min;2;_035;AVC;-;2;_065;AVC;-;1;_095;AVC;-;1;_125;AVC;-;1
_006;TFC;1/kOhm;2;_036;LVET;ms;2;_066;LVET;ms;1;_096;LVET;ms;1;_126;LVET;ms;1
_007;FC;1/min;2;;;;;;;;;;;;;;;;
_008;Heather;Ohm/s²;2;;;;;;;;;;;;;;;;
_009;Z<sm>0</sm>;Ohm;2;;;;;;;;;;;;;;;;
_010;QI-ICG;%;2;;;;;;;;;;;;;;;;
_011;AV Interval;ms;2;;;;;;;;;;;;;;;;
_012;DBP;mmHg;2;;;;;;;;;;;;;;;;
_013;PAM;mmHg;2;;;;;;;;;;;;;;;;
_014;SBP;mmHg;2;;;;;;;;;;;;;;;;
_015;PAWP;mmHg;2;;;;;;;;;;;;;;;;
_016;CVP;mmHg;2;;;;;;;;;;;;;;;;
_017;ETR;%;2;;;;;;;;;;;;;;;;
_018;STR;-;2;;;;;;;;;;;;;;;;
_019;SVR;dyn·s·cm<SM>-5</SM>;2;;;;;;;;;;;;;;;;
_020;SpO<sm>2</sm>;%;2;;;;;;;;;;;;;;;;
_021;LCW;kg*m;2;;;;;;;;;;;;;;;;
_022;VE;ml;2;;;;;;;;;;;;;;;;
_023;SVRI;dyn·s·cm<SM>-5</SM>;2;;;;;;;;;;;;;;;;
_024;IC;m²;2;;;;;;;;;;;;;;;;
_025;ACI;l/min/m²;2;;;;;;;;;;;;;;;;
_026;DO<sm>2</sm>I;1/100/s²;2;;;;;;;;;;;;;;;;
_027;IEjecI;ml/min/m²;2;;;;;;;;;;;;;;;;
_028;IV;ml/m²;2;;;;;;;;;;;;;;;;
_029;LCWI;1/1000/s;2;;;;;;;;;;;;;;;;
